State_Name,StudyYear,MFCCToddler,MFCCPreschool,_75FCCInfant,_75FCCToddler,_75FCCPreschool
Alabama,2008,85.13014925373135,83.22119402985074,98.9134328358209,99.04776119402985,96.82686567164178
Alabama,2009,86.42328358208955,84.69089552238806,100.4776119402985,100.55223880597015,98.53731343283582
Alabama,2010,87.7923880597015,86.15940298507464,102.04179104477612,102.14626865671642,100.24776119402986
Alabama,2011,89.2020895522388,87.6313432835821,103.60597014925374,103.78507462686568,101.95820895522388
Alabama,2012,90.6220895522388,89.10104477611941,105.17014925373134,105.43880597014925,103.66865671641791
Alabama,2013,92.04477611940298,90.56985074626866,106.73432835820896,107.09253731343283,105.37910447761193
Alabama,2014,93.46417910447762,92.0397014925373,108.29850746268657,108.74626865671642,107.08955223880596
Alabama,2015,94.77223880597015,93.39044776119403,109.97044776119404,110.26865671641791,108.66313432835821
Alabama,2016,96.07985074626866,94.74179104477612,111.64149253731343,111.7910447761194,110.23238805970149
Alabama,2017,97.38835820895521,96.09283582089553,113.31343283582089,113.31343283582089,111.80597014925372
Alabama,2018,99.12059701492537,97.44522388059701,114.98537313432837,115.32925373134329,113.37955223880597
Alaska,2014,159.81,150.0,184.62,170.19,161.54
Alaska,2015,155.3009090909091,144.54636363636362,184.09181818181818,159.75,151.82545454545453
Alaska,2016,160.96,150.0,184.62,175.96,161.54
Alaska,2017,161.54,150.0,184.62,178.85,161.54
Alaska,2018,162.12,150.0,184.62,181.73,161.54
Arizona,2008,107.1,101.33333333333333,123.33333333333333,121.33333333333333,120.0
Arizona,2009,108.38333333333334,104.0,124.33333333333333,122.83333333333333,120.83333333333333
Arizona,2010,109.66666666666667,106.66666666666667,125.33333333333333,124.33333333333333,121.66666666666667
Arizona,2011,106.10799999999999,104.44133333333333,123.71333333333334,121.56133333333334,120.22800000000001
Arizona,2012,102.54666666666667,102.21333333333334,122.09333333333333,118.78666666666666,118.78666666666666
Arizona,2013,108.44133333333333,105.27466666666666,124.38000000000001,121.468,119.83999999999999
Arizona,2014,114.33333333333333,108.33333333333333,126.66666666666667,124.14666666666668,120.89333333333335
Arizona,2015,114.0,107.75,128.31933333333333,125.44466666666668,122.50399999999999
Arizona,2016,113.66666666666667,107.16666666666667,130.158,126.74133333333333,124.11466666666666
Arizona,2017,113.33333333333333,106.58333333333333,131.99733333333333,128.03933333333333,125.72266666666668
Arizona,2018,113.0,106.0,133.83333333333334,129.33333333333334,127.33333333333333
Arkansas,2014,81.83333333333333,79.12866666666666,104.83333333333333,90.48133333333334,90.46266666666666
Arkansas,2015,84.0,80.83333333333333,106.66666666666667,92.66666666666667,92.66666666666667
Arkansas,2016,86.16666666666667,82.54533333333333,108.5,96.16666666666667,96.16666666666667
Arkansas,2017,88.33333333333333,84.25,110.33333333333333,99.66666666666667,99.66666666666667
Arkansas,2018,90.5,85.96199999999999,112.16666666666667,103.16666666666667,103.16666666666667
California,2008,143.901724137931,143.901724137931,174.7693103448276,166.46172413793104,166.46172413793104
California,2009,147.96637931034482,147.96637931034482,181.6787931034483,170.99689655172412,170.99689655172412
California,2010,151.61293103448276,151.61293103448276,189.29431034482758,175.62827586206896,175.62827586206896
California,2011,155.26120689655173,155.26120689655173,196.9093103448276,180.25965517241377,180.25965517241377
California,2012,158.90775862068966,158.90775862068966,204.5248275862069,184.8910344827586,184.8910344827586
California,2013,159.82362068965517,159.82362068965517,203.9865517241379,186.4096551724138,186.4096551724138
California,2014,160.73413793103447,160.73413793103447,203.44293103448277,187.92344827586206,187.92344827586206
California,2015,165.1603448275862,165.1603448275862,209.93086206896552,193.47172413793103,193.47172413793103
California,2016,169.5803448275862,169.5803448275862,216.41379310344828,199.01586206896553,199.01586206896553
California,2017,175.53224137931036,175.53224137931036,225.59224137931034,205.49224137931034,205.49224137931034
California,2018,181.47879310344828,181.47879310344828,234.76637931034483,211.9646551724138,211.9646551724138
Colorado,2015,157.0,149.1453125,203.04999999999998,179.1609375,169.640625
Connecticut,2008,172.1875,160.96875,184.375,184.375,182.5475
Connecticut,2009,173.75,163.75,186.875,186.875,183.75
Connecticut,2010,175.3125,166.53125,194.0625,194.0625,186.5625
Connecticut,2011,176.875,169.3125,201.25,201.25,189.375
Connecticut,2012,180.9375,172.82875,203.4375,203.4375,192.34375
Connecticut,2013,185.0,176.34375,205.625,205.625,195.3125
Connecticut,2014,189.0625,179.86,207.8125,207.8125,198.28125
Connecticut,2015,193.125,183.375,210.0,210.0,201.25
