street_number,street_name,city,zip_code,category,building_type,living_area,total_value,year_built,price_per_sft
243,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1122,388100,1910,345
33,PRESCOTT ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1968,530800,1900,269
246,PRINCETON ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1110,533600,1920,480
112,PUTNAM ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1648,715400,1900,434
110,PUTNAM ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1816,763900,1900,420
1,LAWSON PL,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1798,567000,1905,315
426,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1197,620300,1860,518
289,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Sd - Semi-Det,1255,447000,1900,356
303,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1414,593800,1900,419
305,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1190,466500,1900,391
300,PRINCETON ST,East Boston,2128,Single Fam Dwelling,Re - Row End,1356,668300,1900,492
298,PRINCETON ST,East Boston,2128,Single Fam Dwelling,Rm - Row Middle,1530,505600,1900,330
296,PRINCETON ST,East Boston,2128,Single Fam Dwelling,Re - Row End,1184,252400,1900,213
294,PRINCETON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1839,422600,1910,229
292,PRINCETON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,2730,476000,1900,174
278,PRINCETON ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,670,483300,1900,721
233,TRENTON ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1340,660200,1900,492
301,E EAGLE ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1572,514100,1900,327
303,E EAGLE ST,East Boston,2128,Single Fam Dwelling,Re - Row End,1242,505200,1900,406
305,E EAGLE ST,East Boston,2128,Single Fam Dwelling,Rm - Row Middle,1242,523400,1900,421
307,E EAGLE ST,East Boston,2128,Single Fam Dwelling,Rm - Row Middle,992,435700,1900,439
309,E EAGLE ST,East Boston,2128,Single Fam Dwelling,Re - Row End,1182,482600,1900,408
315,E EAGLE ST,East Boston,2128,Single Fam Dwelling,Rm - Row Middle,1242,417400,1900,336
317,E EAGLE ST,East Boston,2128,Single Fam Dwelling,Re - Row End,1467,479900,1900,326
1,LEXINGTON SQ,East Boston,2128,Single Fam Dwelling,Re - Row End,1244,463000,1911,372
2,LEXINGTON SQ,East Boston,2128,Single Fam Dwelling,Rm - Row Middle,1320,528000,1911,400
302,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Re - Row End,1228,493600,1940,401
300,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Rm - Row Middle,1242,484200,1900,389
298,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Rm - Row Middle,1242,492000,1900,396
296,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Re - Row End,1188,453100,1900,381
294,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Re - Row End,1168,489300,1900,418
292,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Rm - Row Middle,1514,497700,1900,328
290,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Rm - Row Middle,1228,528400,1900,430
288,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Re - Row End,1508,543200,1900,360
270,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2065,708200,1900,342
264,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,765,499800,1900,653
262,LEXINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1284,551100,1900,429
349,PRINCETON ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1160,490200,1925,422
359,PRINCETON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,924,396700,1925,428
412,BREMEN ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1035,402200,1910,388
408,BREMEN ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,927,359700,1915,387
364,BREMEN ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1240,510600,1905,411
433,FRANKFORT ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,940,462900,1915,492
435,FRANKFORT ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1573,558500,1900,355
441,FRANKFORT ST,East Boston,2128,Single Fam Dwelling,Sd - Semi-Det,1311,610800,1900,465
449,FRANKFORT ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1440,685100,1900,475
1,SWIFT TE,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1118,580000,1900,518
5,SWIFT TE,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1173,510700,1900,435
9,SWIFT TE,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1612,541600,1900,335
19,SWIFT TE,East Boston,2128,Single Fam Dwelling,Cl - Colonial,939,440300,1876,468
27,SWIFT TE,East Boston,2128,Single Fam Dwelling,Cv - Conventional,795,427000,1900,536
445,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1896,553100,1905,291
546,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1094,373600,1890,341
431,CHELSEA ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1044,374400,1900,358
437,CHELSEA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1344,414700,1900,308
593,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1200,499500,1910,416
595,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1264,488300,1899,386
597,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1006,666700,1910,662
456,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1358,486100,1900,357
810,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1420,394700,1916,277
90,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1064,459500,1920,431
88,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,775,384800,1910,496
86,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1011,455200,1910,450
80,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1112,535300,1910,481
78,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1164,478900,1910,411
62,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1400,490400,1930,350
52,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1890,665400,1900,352
18,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1350,448200,1910,332
81,ADDISON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,980,463900,1900,473
125,ADDISON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1600,524300,1920,327
131,ADDISON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,2019,605500,1915,299
90,BYRON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1822,609700,1900,334
76,BYRON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1974,763800,1900,386
48,BYRON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,2204,810600,1890,367
29,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1496,568400,1900,379
31,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1518,525300,1900,346
754,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Rn - Ranch,1364,608500,1910,446
742,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1345,563100,1910,418
728,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2693,732100,1910,271
726,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2880,759000,2007,263
