zip_code,city,aqi_category
02110,Boston,Good
02199,Boston,Good
02210,Boston,Good
02109,Boston,Good
02116,Boston,Good
02108,Boston,Good
02114,Boston,Good
02111,Boston,Good
02129,Boston,Good
02467,Brookline,Good
02113,Boston,Good
02132,Boston,Good
02118,Boston,Good
02130,Boston,Good
02127,Boston,Good
02135,Boston,Good
02131,Boston,Good
02136,Boston,Good
02134,Boston,Good
02128,Boston,Good
02122,Boston,Good
02124,Boston,Good
02125,Boston,Good
02163,Boston,Good
02115,Boston,Good
02126,Boston,Good
02215,Boston,Good
02119,Boston,Good
02121,Boston,Good
02120,Boston,Good
02451,Waltham,Good
